subest,sav,crop,riprap
CB504,0.03350518,22.08,0
CB504,0.152736429,22.08,0
CB504,0.085447966,22.08,0
CB504,0.249158843,22.08,0
CB504,0.042544491,22.08,0
CB504,0.446607958,22.08,0
CB504,0.161940698,22.08,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0.152586242,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0.228741203,17.47,0
CB505,0,17.47,0
CB505,0.406129122,17.47,0
CB505,0.731913284,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0.215319143,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0.037542077,17.47,0
CB505,0.028797317,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0.033407007,17.47,0
CB505,0,17.47,0
CB505,0.078571632,17.47,0
CB505,0.861051115,17.47,0
CB505,0.123451333,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0.098750153,17.47,0
CB505,0,17.47,0
CB505,0.657084686,17.47,0
CB505,0,17.47,0
CB505,0.625544663,17.47,0
CB505,0,17.47,0
CB505,0.096040501,17.47,0
CB505,0,17.47,0
CB505,0.855827037,17.47,0
CB505,0.21420354,17.47,0
CB505,0,17.47,0
CB505,0.165190289,17.47,0
CB505,0.343947337,17.47,0
CB505,0.033497437,17.47,0
CB505,0.052882676,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB505,0,17.47,0
CB601,0.019243189,11.68,0
CB601,0.34321718,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0.644102655,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0.257664666,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB601,0,11.68,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0.032350108,2.83,0
CB602,0.138233836,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0.901037842,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0.372152893,2.83,0
CB602,0.041342159,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0.031349585,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB602,0,2.83,0
CB603,0.845976398,0.95,0
CB701,0,21.66,0
CB701,0,21.66,0
CB701,0,21.66,0
CB701,0,21.66,0
CB701,0,21.66,0
CB701,0,21.66,0
CB701,0.029977038,21.66,0
CB701,0,21.66,0
CB701,0.072964477,21.66,0
CB702,0.064887056,24.27,0
CB702,0.127081505,24.27,0
CB702,0.303058651,24.27,0
CB702,0.784613749,24.27,0
CB702,0,24.27,0
CB703,0.028245983,20.76,0
CB703,0,20.76,0
